Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar
1/2/1979,226.8,137.3,43164.9,111.5,263.7,359.6,1792.9,0,226.8,0,735.6,138160.5,851.3,4454.6,0,0,107470,137.3,0,226.8,194.6,0,263.7,193.6
1/3/1979,218.6,134,43717.9,108,264.4,365.9,1802.2,0,218.6,0,739.4,138877,855.7,4477.7,0,0,108027.4,134,0,218.6,192.2,0,264.4,193
1/4/1979,223.2,136.8,43674.9,110.7,264.1,366.4,1811.7,0,223.2,0,743.4,139616.3,860.3,4501.5,0,0,108602.5,136.8,0,223.2,193,0,264.1,194.6
1/5/1979,225.5,138.4,44582.5,111.6,268.4,373.7,1843.6,0,225.5,0,756.4,142069.1,875.4,4580.6,0,0,110510.4,138.4,0,225.5,196.4,0,268.4,197.9
1/8/1979,223.1,136.4,44436.2,110.2,269.5,372.6,1841.3,0,223.1,0,750.9,141870.9,869.7,4574.2,0,0,110356.3,136.4,0,223.1,197.2,0,269.5,197.9
1/9/1979,224,137.3,44045.6,111,266.3,372.8,1822.5,0,224,0,743.3,140446.7,860.9,4528.3,0,0,109248.4,137.3,0,224,195,0,266.3,195.9
1/10/1979,220.7,135.5,43366.4,109.9,261.8,365.9,1803.5,0,220.7,0,735.6,138981,852,4481,0,0,108108.3,135.5,0,220.7,192,0,261.8,192.7
1/11/1979,220.7,135.9,43770.6,110.2,262.5,370.9,1814.6,0,220.7,0,740.1,139833.8,857.2,4508.5,0,0,108771.7,135.9,0,220.7,192.4,0,262.5,193.8
1/12/1979,217.6,134.1,42837.1,109,257.2,364.6,1782.6,0,217.6,0,727.1,137371.8,842.1,4429.1,0,0,106856.6,134.1,0,217.6,187.1,0,257.2,189.8
1/15/1979,216.9,133.8,42795.3,108.8,256.8,367.8,1782,0,216.9,0,718.1,135122.4,825.5,4374.7,0,0,106819.8,133.8,0,216.9,187.3,0,256.8,189.8
